,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
133,Tiksi,RU,71.6872,128.8694,36.45,80,99,2.8,overcast clouds
134,Jumla,NP,29.2747,82.1838,63.99,96,64,1.14,broken clouds
135,Saskylakh,RU,71.9167,114.0833,47.71,59,88,6.55,overcast clouds
136,Birnin Kebbi,NG,12.4539,4.1975,83.34,64,99,9.64,overcast clouds
137,Orleans,US,30.0335,-89.9501,91.99,64,40,5.75,scattered clouds
138,Kashi,CN,39.4547,75.9797,83.97,20,0,5.12,clear sky
139,Port Hawkesbury,CA,45.6169,-61.3485,81.91,48,100,11.01,overcast clouds
140,Geraldton,AU,-28.7667,114.6,54.01,100,40,8.05,scattered clouds
141,Fukue,JP,32.6881,128.8419,78.3,84,100,11.54,overcast clouds
142,Anupgarh,IN,29.1911,73.2086,90.32,60,86,6.51,overcast clouds
143,Soe,ID,-9.8607,124.284,60.93,87,25,5.37,scattered clouds
144,Stornoway,GB,58.2093,-6.3865,67.03,74,40,8.05,scattered clouds
145,Baykit,RU,61.67,96.37,52.07,96,66,2.86,broken clouds
146,Kruisfontein,ZA,-34.0033,24.7314,74.88,27,1,8.03,clear sky
147,Tevriz,RU,57.509,72.4042,61.54,66,92,3.91,overcast clouds
148,Ponta Do Sol,PT,32.6667,-17.1,79.12,69,35,9.55,scattered clouds
149,Khatanga,RU,71.9667,102.5,57.87,63,100,5.75,overcast clouds
150,Bilibino,RU,68.0546,166.4372,29.37,78,39,14.56,scattered clouds
151,Naldurg,IN,17.8167,76.3,76.26,83,100,14.5,light rain
152,Balkhash,KZ,46.844,74.9804,74.89,51,1,17.87,clear sky
153,Ambilobe,MG,-13.2,49.05,72.34,55,52,5.93,broken clouds
154,Kaitangata,NZ,-46.2817,169.8464,42.55,89,89,3.71,overcast clouds
155,Namatanai,PG,-3.6667,152.4333,78.84,80,40,8.93,light rain
156,Cururupu,BR,-1.8283,-44.8683,88.68,52,43,6.42,scattered clouds
157,Carnarvon,AU,-24.8667,113.6333,67.23,80,16,11.88,few clouds
158,Savannakhet,LA,16.566,104.751,78.53,87,16,4.92,few clouds
159,Nome,US,64.5011,-165.4064,51.87,59,0,5.75,clear sky
160,Menongue,AO,-14.6585,17.691,62.85,29,1,5.95,clear sky
161,Ribeira Grande,PT,38.5167,-28.7,77.4,73,20,12.66,few clouds
162,Bintulu,MY,3.1667,113.0333,77.27,81,100,4.79,overcast clouds
163,The Valley,AI,18.217,-63.0578,87.1,77,11,19.44,few clouds
164,Mount Isa,AU,-20.7333,139.5,51.57,76,2,0.0,clear sky
165,Saint-Philippe,RE,-21.3585,55.7679,69.39,78,90,16.31,light rain
166,Luderitz,NA,-26.6481,15.1594,67.89,42,10,4.83,clear sky
167,Gilroy,US,37.0058,-121.5683,80.04,53,0,4.61,clear sky
168,Sao Joao Da Barra,BR,-21.6403,-41.0511,87.89,68,85,17.47,overcast clouds
169,South Milwaukee,US,42.9106,-87.8606,80.58,82,75,12.66,broken clouds
170,Mirabad,AF,30.4362,61.8383,100.72,6,0,7.02,clear sky
171,Agustin Codazzi,CO,10.0341,-73.2361,92.59,44,100,3.76,overcast clouds
172,Lasa,IT,46.6166,10.7002,83.7,53,18,0.36,few clouds
