City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
348,Leh,IN,65.39,overcast clouds,34.1667,77.5833,Hotel Ladakh Greens
350,Saint-Pierre,RE,69.48,scattered clouds,-21.3393,55.4781,Alize Plage
353,Kalininsk,RU,72.75,scattered clouds,51.5,44.4758,Guest House on Chekhova
354,Saurimo,AO,72.91,clear sky,-9.6608,20.3916,Hotel Kawissa Saurimo
355,Gori,GE,69.46,clear sky,41.9842,44.1158,Guesthouse MK
359,Pisco,PE,65.01,haze,-13.7,-76.2167,Hotel San Isidro Oficial
360,Eyl,SO,78.55,broken clouds,7.9803,49.8164,Amiin Hotel
361,Ayame,CI,77.56,overcast clouds,5.6083,-3.1563,Hotel Bossan
365,Fayaoue,NC,73.08,overcast clouds,-20.65,166.5333,Chez Dydyce Guesthouse
368,Kurtamysh,RU,65.53,light rain,54.9103,64.4319,Kurtamysh
369,Yanam,IN,77.04,overcast clouds,16.7333,82.2167,The Regency Hotel
370,Ewa Beach,US,78.75,broken clouds,21.3156,-158.0072,Base Lodging
371,Tabuk,PH,74.34,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
372,Aklavik,CA,57.2,scattered clouds,68.2191,-135.0107,Aklavik Inn
373,Atbasar,KZ,73.13,broken clouds,51.8,68.3333,Гостиничный Комплекс Saad
374,Kaberamaido,UG,75.97,broken clouds,1.7389,33.1594,"Little Orchard, Kaberamaido"
376,Romny,UA,58.71,light rain,50.751,33.4747,Floriana
377,Nikolayevsk-Na-Amure,RU,56.97,overcast clouds,53.1406,140.73,Mini-hotel «Quiet Harbor»
381,Cuamba,MZ,66.52,broken clouds,-14.8031,36.5372,Hotel Vision
382,Varnavino,RU,61.74,broken clouds,57.4035,45.0916,Sibles PG Inn
383,Marktoberdorf,DE,79.83,clear sky,47.7833,10.6167,Hotel-Gasthof Zum Hirsch
384,Boguchany,RU,58.8,broken clouds,58.3814,97.4531,Uyut
386,Juba,SS,77.72,light rain,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
387,Skjervoy,NO,51.8,light rain,70.0311,20.9714,Skjervøy fiskecamp AS
388,Shimoda,JP,73.11,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
389,Talara,PE,72.36,clear sky,-4.5772,-81.2719,Hostal Oro Negro
391,Ayr,GB,75.18,clear sky,55.4627,-4.6339,Mercure Ayr Hotel
394,Mananara,MG,67.66,light rain,-16.1667,49.7667,Chez Roger
396,Grand Gaube,MU,70.2,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
400,Shimanovsk,RU,65.28,light rain,52.0,127.7,Гостиница Домашняя
401,Coronel,CL,51.82,overcast clouds,-37.0167,-73.1333,Bután Centro de Eventos & Restaurant
402,Sakata,JP,72.48,moderate rain,38.9167,139.855,Hotel Rich & Garden Sakata
405,Sai Buri,TH,79.66,broken clouds,6.7013,101.6168,สวนป่ารีสอร์ท
406,Sangolqui,EC,68.49,light rain,-0.3341,-78.4522,Mansion Samzara Hosteleria
407,Tosu,JP,78.62,overcast clouds,33.3667,130.5167,OYO サンホテル鳥栖 佐賀 / OYO Sun Hotel Tosu Saga
408,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
410,Pacific Grove,US,69.82,broken clouds,36.6177,-121.9166,Lovers Point Inn
411,Ballina,AU,57.78,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
413,Jackson,US,75.7,clear sky,42.4165,-122.8345,Agate Village Apartments
414,Melipilla,CL,50.81,overcast clouds,-33.7,-71.2167,Hotel Los Troncos
415,Faanui,PF,76.08,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
418,Nueve De Julio,AR,58.8,clear sky,-35.4444,-60.8831,Grand Hotel Libertad - GHL
419,Zermatt,CH,79.14,few clouds,46.0213,7.7491,Ambassador Zermatt
421,Naze,JP,79.72,overcast clouds,28.3667,129.4833,Shishime Hotel
422,Novopokrovka,UA,62.6,broken clouds,49.8425,36.5477,Пудж дом
424,Waw,SS,76.14,broken clouds,7.7029,27.9953,Universal Gab Hotel
431,Imeni Poliny Osipenko,RU,56.97,broken clouds,52.4201,136.4853,Yubileynaya
433,Povenets,RU,61.83,overcast clouds,62.8487,34.8262,Eko Otel' Bol'shaya Medveditsa
435,Wuhu,CN,77.13,overcast clouds,31.3366,118.3755,JI Hotel Wuhu Pedestrian Street
436,Yambio,SS,70.41,moderate rain,4.5721,28.3955,Naivasha Hotel
437,Vila Franca Do Campo,PT,72.01,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
438,Yulara,AU,51.73,few clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
439,Mujiayingzi,CN,63.64,clear sky,42.1167,118.7833,Jinjiang Hotel
441,Pyryatyn,UA,59.74,scattered clouds,50.2445,32.5107,Отель Пирятин
442,Kristiansund,NO,59.05,broken clouds,63.1115,7.732,Thon Hotels Storgata
446,Xinmin,CN,67.33,scattered clouds,41.9908,122.8253,Agricultural Machinery Hotel
447,Genhe,CN,59.58,overcast clouds,50.7833,121.5167,Companionship Hotel
448,Havre-Saint-Pierre,CA,68.36,clear sky,50.2334,-63.5986,Auberge Niapiskau
450,Calama,CL,70.29,clear sky,-22.4667,-68.9333,Park Hotel Calama
453,Haines Junction,CA,58.95,overcast clouds,60.7522,-137.5108,Parkside Inn
454,Thompson,CA,77.16,scattered clouds,55.7435,-97.8558,Burntwood Hotel
456,Kirakira,SB,79.5,few clouds,-10.4544,161.9205,SanBiz Lodge
457,Neuquen,AR,55.29,clear sky,-38.9516,-68.0591,Hotel del Comahue
458,Bengkulu,ID,76.87,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
459,Batagay,RU,52.93,overcast clouds,67.6333,134.6333,Gostinitsa Ki'ileekh
460,Chifeng,CN,64.67,clear sky,42.2683,118.9636,Junyu Tiancheng Hotel
462,Bangui,CF,72.91,light rain,4.3612,18.555,SAM HOTEL
463,Kochevo,RU,62.8,scattered clouds,59.5994,54.3125,Hotel/Гостиница
465,College,US,59.07,light rain,64.8569,-147.8028,Pike's Waterfront Lodge
472,Kamien Pomorski,PL,68.36,broken clouds,53.9685,14.7726,Mieszko II
474,Bacungan,PH,79.2,overcast clouds,9.9106,118.7022,Sumayang Property
476,Kilindoni,TZ,76.5,broken clouds,-7.9139,39.6668,Bustani B&B
480,Whitehorse,CA,53.02,broken clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
482,Harper,LR,76.77,overcast clouds,4.375,-7.7169,Screensaver
483,Tateyama,JP,76.1,scattered clouds,34.9833,139.8667,Tateyama Seaside Hotel
485,Orkney,ZA,57.02,clear sky,-26.9802,26.6727,Hole in One Guest House Orkney
488,Petropavlovsk-Kamchatskiy,RU,52.39,fog,53.0452,158.6483,The Hotel Petropavlovsky
489,Slave Lake,CA,66.18,broken clouds,55.2834,-114.769,Super 8 by Wyndham Slave Lake AB
492,Quatre Cocos,MU,69.91,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
499,Dicabisagan,PH,79.48,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
500,Port Macquarie,AU,54.9,scattered clouds,-31.4333,152.9167,Rydges Port Macquarie
501,Mitsamiouli,KM,77.29,few clouds,-11.3847,43.2844,Foyer ADM
